Issue Type,Summary,Priority
Suggestion,Cinagra Rx Male Enhancement - How does it work?,
Suggestion,Cinagra Rx Male Enhancement - Help You Discover The Real Power of Men!,
Suggestion, cortexi price,
Suggestion,TupiTea Male Enhancement Reviews - 2023 Alert - Does It Work for Men or Cheap Scam?,
Suggestion,TupiTea Male Enhancement Formula United States (USA) Reviews & Offer Price,
Suggestion,Probioxmed - Do Probioxmed Pills Make You Lose Weight?,
Suggestion,Discover the Probiotic Breakthrough That's Changing Lives: Probioxmed,
Suggestion,"Provestra (Be Careful) Increase Vaginal Lubrication, Side Effects & Really Work!",
Suggestion,Amarose Skin Tag Remover Reviews Official (Shark Tank Truth Exposed 2023) Price & Negative Side Effects For Flawless Perfect Skin!,
Suggestion,Metanail Serum Pro (Scam Alert) Supports Healthy Nails! Up to 80% OFF,
Suggestion,Experts Choice Amarose Skin Tag Remover 100% Safe For Flawless Perfect Skin!,
Suggestion,[Beware!] Striction BP Reviews - Read My Personal Experience Before Try! ,
Suggestion,StrictionBP Reviews - Urgent Report Investigation By Experts!,
Suggestion,[USA] Striction BP Reviews - [Scam Or Legit] My 30 Days Experience Report!,
Suggestion,Upgrade Your Dog Training Game with UltraK9 Pro: The Ultimate Tool for Success,
Suggestion,PT Trim Fat Burn Fast And Easy Ways To Reduce Your Body Weight & Fat Get Result In Just Few Weeks(REAL OR HOAX),
Suggestion,UltraK9 Pro Review - Nutrients Drops For Dog Or hoax Drops!,
Suggestion,Quietum Plus Reviews - [Negative Tinnitus] Real Quietum Plus Ingredients & Side Effects!,
Suggestion,(Effective) Java Burn Coffee Reviews - Is It Worth the Money? Scam or Legit?,
Suggestion,مسلسل الاجهر الحلقة 11 فيديو لاروزا,
Suggestion,DOWER,
Suggestion,(Exposed Shark Tank 2023 Reviews) Amarose Skin Tag Remover Official Website For Flawless Perfect Skin!,
Suggestion,(Exposed Shark Tank 2023 Reviews) Amarose Skin Tag Remover Official Website  For Flawless Perfect Skin!,
Suggestion,UltraK9 Pro {Clinically Proven} Provide Healthy And Energetica Life To Your Dogs Best Friend(Work Or Hoax),
Suggestion,Amarose Skin Tag Remover Official Website (Exposed Shark Tank 2023 Reviews) For Flawless Perfect Skin!,
Suggestion,Amarose Skin Tag Remover Reviews Scam Alert & Price - Official USA 2023,
Suggestion,Skin Tag Remover - (Amarose Skin Tag Remover Reviews) Official Price & website,
Suggestion,Skin Tag Remover - (Amarose Skin Tag Remover Reviews) Official Price & website,
Suggestion,health,
Suggestion,"Enable the possibility of replying to a comment, please.",
Suggestion,Ability to auto-schedule selected issues,
Bug,Issue sources having currentUser() part of the query will be silently excluded,Low
Suggestion,Atlas > Embed links,
Suggestion,"User, Reader, Should be able to change background color, need themes support.",
Suggestion,Add Multiple Assignees or Teams,
Suggestion,External Links MUST Open in New Tab,
Suggestion,Create issue provide pop up with all the required fields.,
Suggestion,Issues (epics) without parent initiative and Initiative is in Program plan,
Suggestion,Make dependent issues automatically adjust each other's schedules,
Suggestion,Subtask or Child Issues should be an extension of the Parent Task or Issue,
Suggestion,"Allow users to add ""Time Spent"" field to Advanced Roadmaps",
Suggestion,An ability to search dependency link type in the Dependency Report,
Suggestion,Macbook problems affect the work ability and presentation,
Suggestion,"Capability Level needs a field for weeks on the financial tab so when estimate is added weeks can also be added, ",
Suggestion,Create a Client field on the capability that defaults from the feature ,
Bug,Unexpected sprint value showing in the plan,Low
Suggestion,Allow custom Plan issue limits,
Suggestion,Deployment in bitbucket to list branch used,
Suggestion,"Filter on ""No version"" in Backlog",
Suggestion,Ticket Title always visible,
Suggestion,Product Hierarchy View,
Bug,Auto-schedule allocates too many days to few random issues.,Medium
Suggestion,Ability to add code snippets inside expand,
Suggestion,Mandatory field does not show in review changes if the field contains a default value,
Suggestion,The Cloud Jira for Excel for O365 plugin should allow options to make the plugin visible/invisible to people who don't want to see it.,
Suggestion,Feature Request: Uploading the Revision of an Application to an S3 Bucket Prefix using the AWS CodeDeploy Pipe,
Suggestion,Confluence UI Child Page Macro,
Suggestion,Improve usability: Possibility to hide filter/Hiearchy/view area y-wise,
Suggestion,Ability to create a plan with an unknown issue source,
Suggestion,"As a user, I would like to be able to set a Release Version instead of Fix Version",
Suggestion,Copy from existing should not copy description,
Suggestion,Ticket Created Via Email,
Suggestion,Permit users to disable Warnings at Project level,
Bug,The Assignee user picker doesn’t honor the “Assignable User” projects permission and allows browsing all users from the Jira instance,Low
Suggestion,Would like the Warnings count at the top to only reflect warnings that are in view,
Suggestion,Item Issue Hierarchy per Project,
Suggestion,Support for Advanced Roadmap fields in Automation for Jira,
Suggestion,Add the ability to subfilter Sprint Board issue sources using JQL,
Suggestion,no feedback when no permission to add attachments,
Suggestion,Assignee capacity summary on plans.,
Suggestion,Allowing Feature to archive Shared-team ,
Suggestion,Create dependencies using drag & drop,
Suggestion,Provide a browser title configuration,
Bug,After deleting the sprint the plan does not load,Low
Suggestion,Incoming call support for Hong Kong and Singapore,
Bug,"The ""View Settings"" page of a Roadmap plan is blank due to an invalid ""Colour by"" configuration",Low
Suggestion,                              DNS SERVER ERROR,
Suggestion,Enable option to group Dependencies Report based on Scope / Issue sources.,
Suggestion,Jira Portal ability to see sub-tasks,
Suggestion,Make the OpsGenie app work more like an alarm as an alternative for a phone call,
Suggestion,Support single and multiple issue picker field types in Plan view,
Suggestion,Better notification of payment issues,
Suggestion,Display Count,
Suggestion,Allow more fields to be showing when viewing incoming and outgoing dependencies from roadmap view/tab,
Suggestion,Request Access For VCMS System  ,
Suggestion,test,
Suggestion,PassyourACSM010-111ExaminFirstAttempt2019,
Bug,Unify the Epic Link and Parent Link within Jira Data Center  ,Medium
Bug,Filter name with underscore is not listed in suggestion while creating the plan in Advanced Roadmaps,Medium
Suggestion,Ticket description - edit button instead by click,
Suggestion,Add Jira story points field on advance roadmap program view.,
Suggestion,Change PageIDs to wiki/display/ by default,
Suggestion,Enable Version Picker Custom Field type in Advanced Roadmaps,
Suggestion,Wrong name showing-Sumit Gulave-u413781,
Suggestion,Task assigned in the midddle of Sprint,
Suggestion,Calendar view for Plan,
Suggestion,User Management can use more robust search features,
Suggestion,Search features in Settings >Projects Needs to be a lot more robust ,
Suggestion,rule test,
Suggestion,Be able to base KAnban board on epics and project,
Suggestion,Should not be able to discard other peoples changes,
Suggestion,New condition in SLA,
Suggestion,I'd like to view related ISSUES side by side on same screen,
Suggestion,通过人员所在分组来设置create issue的必选项跟非必选项,
Suggestion,Add an Agent Limit with the Auto-Assign Automation,
Suggestion,Ability to search the contents in the embedded Google drive files from confluence,
Suggestion,Add sort by 'Text Field (single line)',
Suggestion,Force sync with master check,
Suggestion,Group By JQL,
Suggestion,bitbucket pull requests and renovate bot pull requests,
Suggestion,bitbucket pull requests and renovate bot pull requests,
Suggestion,Allow users/admins to use ALL report tools no matter which type of board they have,
Suggestion,Allow the configuration of the default issue type when creating an issue within the plan,
Suggestion,Individual schedules in OpsGenie,
Suggestion,Allow paragraph custom fields to be shown in Advanced Roadmaps,
Suggestion,Sorting board by task name prefix,
Suggestion,Griya Depo,
Suggestion,"As an iOS user, I can tell which rotation I'm on call for",
Bug,Translation of the JPO fields is not shown on the Issue view screen,Low
Suggestion,Issue name on Gantt bars,
Suggestion,Advanced Roadmaps on iOS,
Suggestion,Group by in view settings should have Filter.,
Bug,Velocity Insights for Issues that span sprints are not reported correctly,Low
Bug,Multiple fix versions are no longer displayed on Advanced Roadmap plans,Low
Suggestion,Auto-Scheduler Factor Consideration Options,
Suggestion,Auto Save Issues Created via Advanced Roadmaps,
Suggestion,Enhance Team settings to add a separate schedule for different team members,
Suggestion,Default Estimates in the new interface,
Suggestion,The warning of 'Unresolved issue after target end date' should be triggered against local timezone ,
Suggestion,Configure shared team to private,
Bug,Target Start and Target End fields are exported with timezone shift ,Low
Suggestion,"When sorting for dates in a plan, leave the empty ones in the bottom",
Bug,Filters that contain colon are not listed in search while creating a plan under Advanced Roadmaps,Low
Suggestion,Add multiple language support to roadmap's macro,
Bug,Misleading parameter for Release's Progress (issue count),Low
Suggestion,Program doesn't honor the filters of the selected plans,
Bug,Bulk Change in Jira 9.x getting 405 error,Highest
Bug,Customfield description shows <span> tag when viewing Roadmap fields on a screen,Low
Suggestion,"Reporting for Advanced Roadmaps (cross project-burnup, -forecast, -status & health of releases)",
Suggestion,Estimates exceeded are not recorded or highlighted in plans,
Suggestion,View Epic on Dependencies Report,
Suggestion,View Epic on Dependencies Report,
Bug,The number of issues at capacity insights for the Kanban team will be incorrectly calculated if “Enhanced capacity distribution” feature disabled,Low
Suggestion,Filter Advanced Roadmaps scope by date ,
Suggestion,Ability to have advanced Filter control on Plans while 'Show Full Hierarchy' is leveraged. ,
Suggestion,"Advance Roadmap Estimates (h) Field Reflects Issue Remaining Estimate, not Original Estimate",
Suggestion,Generate an Event on Create Plan and Create Program,
Suggestion,ggggg,
Suggestion,"As an Advanced Roadmaps user, I can compare two scenarios",
Bug,The excluded releases are added back if any change is made in the issue sources or any excluded issue is added back,Medium
Bug,Plan Project Limit reached error wrongfully occurs when user is not permitted to Board in Issue Source,Low
Suggestion,h,
Bug,JQL search involving Target start/ Target end are returning incorrect results,Low
Bug,"While generating Plan's CSV export some values of ""User Picker"" custom field(-s) are not included",Low
Bug,"When converting an issue from Epic to another issue type, the parent link field is not cleared",Low
Suggestion,Add dependency line to Jira Advanced Roadmaps,
Suggestion,Require an option to migrate plans from one instance to another,
Suggestion,tstetsts,
Suggestion,Show a hierarchical view of issues in dependencies report,
Bug,Unable to rearrange the fields by dragging and dropping the fields in the drop-down when custom fields are present in list,Medium
Bug,Upgrade an external library to fix the vulnerability CVE-2022-22965,Low
Suggestion,Ability share Roadmaps/projects without consuming a license,
Suggestion,REST API endpoint to add resources to a team,
Bug,"""The ResourceConfig instance does not contain any root resource classes"" repeated error in Logs when Managing Teams and Microsoft Teams is installed",Low
Suggestion,Allow to configure notifications to members of shared teams in Plans,
Suggestion,Filter by Project when in Sprint Capacity Management View ,
Suggestion,Visual RAG-like health status indicator field for Jira and Roadmaps,
Suggestion,Allow Dependency configurations per project/plan,
Suggestion,View permission for Scenarios,
Suggestion,Display Dependency Links in Advanced Roadmaps when Grouped by Components,
